MCID,CID,Campaign Name,AID,MAID,Advertiser Name,BID,Business,Budget,Start Date,Last 7 Days,Last 30 Days,Service Principal Name,Service Principal Manager,Channel,,,,,,,,,,,
490-180-2491,6626498,"LSA | Hernandez, Brown and Brock | Synthetic",231908,861852,"Hernandez, Brown and Brock",6708,"Hernandez, Brown and Brock INC","23,905.63",12-10-2020,0.00,0.00,Streamline B2B Applications,Robert Diaz,DirectLocal,,,,,,,,,,,
699-416-6214,6265570,LSA | Crawford Inc | Synthetic,766045,852285,Crawford Inc,2160,Crawford Inc INC,"43,696.03",24-11-2025,"1,120.06","49,308.53",Engineer Transparent Interfaces,Angela Cole,DirectLocal,,,,,,,,,,,
379-861-1053,0748354,LSA | Fry-Gould | Synthetic,927754,826006,Fry-Gould,8295,Fry-Gould INC,"18,447.63",06-05-2026,"6,016.03","49,394.14",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
015-361-0096,5519344,"LSA | Aguilar, Sanders and Martinez | Synthetic",763471,131362,"Aguilar, Sanders and Martinez",8295,"Aguilar, Sanders and Martinez INC","23,272.08",04-05-2026,"7,664.76","11,747.32",Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
126-217-6174,5893958,LSA | Henderson-Smith | Synthetic,925316,022639,Henderson-Smith,7819,Henderson-Smith INC,"50,309.45",30-04-2026,"12,360.04","61,562.87",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
857-158-4580,7923333,LSA | Hernandez-Edwards | Synthetic,441542,793091,Hernandez-Edwards,9588,Hernandez-Edwards INC,"44,300.38",05-05-2026,"6,701.80","24,106.78",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
216-411-1771,6307088,LSA | Stafford-Martinez | Synthetic,083328,206666,Stafford-Martinez,9588,Stafford-Martinez INC,"50,605.90",05-05-2026,"5,184.45","48,908.27",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
342-357-0429,7403387,LSA | Reynolds Inc | Synthetic,117402,354459,Reynolds Inc,9588,Reynolds Inc INC,378.50,29-04-2026,"8,706.34","15,260.78",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
134-411-1163,9355601,LSA | Martin-Johnson | Synthetic,415722,945818,Martin-Johnson,9588,Martin-Johnson INC,"58,099.53",01-05-2026,"9,335.76","50,068.19",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
881-244-3883,0107134,LSA | Ortega-Patel | Synthetic,088540,562052,Ortega-Patel,9588,Ortega-Patel INC,"29,700.18",01-05-2026,"10,159.86","66,032.35",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
923-276-2646,2933835,LSA | Estes-Parker | Synthetic,621387,639168,Estes-Parker,9588,Estes-Parker INC,"38,736.98",27-04-2026,"3,605.14","2,199.47",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
058-923-3997,3352953,LSA | Lee-Dickson | Synthetic,966438,222545,Lee-Dickson,9588,Lee-Dickson INC,704.96,24-04-2026,"4,604.17","46,348.72",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
183-877-9675,8729622,LSA | Anderson Inc | Synthetic,083539,691580,Anderson Inc,9588,Anderson Inc INC,"14,792.07",29-04-2026,"9,358.59","3,403.58",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
045-757-7777,2508133,LSA | Pope-Thompson | Synthetic,557004,138795,Pope-Thompson,9588,Pope-Thompson INC,"57,217.95",23-04-2026,"8,227.09","33,432.42",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
335-948-1869,0899899,LSA | Greene-Joseph | Synthetic,277334,780440,Greene-Joseph,9588,Greene-Joseph INC,"41,592.51",30-04-2026,"12,476.64","60,574.39",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
049-706-5288,3625831,LSA | Jones-Howard | Synthetic,288924,654970,Jones-Howard,9588,Jones-Howard INC,"45,222.98",06-05-2026,"5,469.45","38,272.91",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
786-513-7181,6752786,"LSA | Robertson, Ray and Burns | Synthetic",394221,680623,"Robertson, Ray and Burns",9588,"Robertson, Ray and Burns INC","44,032.03",01-05-2026,"12,107.19","16,112.64",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
787-682-9229,7051648,LSA | Stanley Ltd | Synthetic,532548,772796,Stanley Ltd,9588,Stanley Ltd INC,"32,713.73",30-04-2026,"5,334.10","16,794.66",Reinvent One-To-One Roi,Gina Sullivan,National,,,,,,,,,,,
614-486-3712,8091984,LSA | Fuller-Wilson | Synthetic,337551,355450,Fuller-Wilson,9588,Fuller-Wilson INC,"3,448.06",26-03-2026,"10,402.65","16,187.75",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
006-265-7709,7980644,LSA | Santana Ltd | Synthetic,814099,781686,Santana Ltd,9588,Santana Ltd INC,"43,737.69",23-04-2026,"7,919.27","62,659.38",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
197-206-0380,8827181,LSA | Robinson LLC | Synthetic,793288,989180,Robinson LLC,9588,Robinson LLC INC,"29,910.67",16-01-2026,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
081-204-9141,2599612,LSA | Perez and Sons | Synthetic,403386,920517,Perez and Sons,9588,Perez and Sons INC,"29,928.98",25-04-2026,"12,181.43","23,671.27",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
160-247-9830,6312972,LSA | Rios LLC | Synthetic,949463,450654,Rios LLC,9588,Rios LLC INC,"36,516.35",05-05-2026,435.08,"8,406.64",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
827-980-7294,9632667,"LSA | Mayer, Shaffer and Brown | Synthetic",213117,148136,"Mayer, Shaffer and Brown",9588,"Mayer, Shaffer and Brown INC","27,272.46",16-04-2026,"3,879.17","55,963.20",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
147-487-4354,0141496,LSA | Simmons-Keller | Synthetic,650242,000905,Simmons-Keller,9588,Simmons-Keller INC,"44,973.24",16-04-2026,"3,507.83","7,855.19",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
719-928-3987,9498089,"LSA | Hanson, Robinson and Wise | Synthetic",202588,418567,"Hanson, Robinson and Wise",9588,"Hanson, Robinson and Wise INC","12,067.38",27-04-2026,"5,121.78","7,804.35",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
050-850-9396,8855582,LSA | Woodward LLC | Synthetic,039658,869848,Woodward LLC,9588,Woodward LLC INC,"45,757.74",30-04-2026,"13,024.48","34,919.37",Re-Contextualize Dot-Com Deliverables,Angela Cole,National,,,,,,,,,,,
488-223-6604,9775642,LSA | Clark Group | Synthetic,255096,139859,Clark Group,9588,Clark Group INC,298.79,19-03-2026,"6,954.50","9,187.06",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
037-967-4121,1583256,LSA | Wood Group | Synthetic,238910,820338,Wood Group,9588,Wood Group INC,"2,413.83",28-04-2026,"1,531.70","61,412.25",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
381-560-0079,2435566,LSA | Jones-Smith | Synthetic,413434,018549,Jones-Smith,9588,Jones-Smith INC,"38,474.11",01-05-2026,"3,827.78","18,760.93",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
379-880-4303,3748924,LSA | Cook Group | Synthetic,346512,206700,Cook Group,9588,Cook Group INC,"55,747.76",27-09-2025,"6,888.81","41,933.07",Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
285-855-5826,5870597,"LSA | Patton, Estrada and Moore | Synthetic",243513,981998,"Patton, Estrada and Moore",9588,"Patton, Estrada and Moore INC","51,357.90",24-04-2026,"1,864.25","52,357.41",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
716-474-5570,4979141,"LSA | Hunter, Anderson and Schroeder | Synthetic",109475,720470,"Hunter, Anderson and Schroeder",9588,"Hunter, Anderson and Schroeder INC","36,319.37",04-05-2026,0.00,"35,900.83",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
239-747-6420,3799437,"LSA | Clay, Watson and Crawford | Synthetic",690070,467966,"Clay, Watson and Crawford",9588,"Clay, Watson and Crawford INC","22,303.38",27-04-2026,"1,955.47","11,587.30",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
166-281-6619,6461688,LSA | Simmons LLC | Synthetic,156185,610227,Simmons LLC,9588,Simmons LLC INC,"25,046.86",27-04-2026,"4,812.81","2,430.42",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
989-942-4135,0706137,LSA | Doyle PLC | Synthetic,745736,829935,Doyle PLC,9588,Doyle PLC INC,"37,028.39",28-04-2026,0.00,"11,159.55",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
224-624-0372,9258990,LSA | Solis-Weber | Synthetic,871924,413371,Solis-Weber,9588,Solis-Weber INC,"40,603.44",27-04-2026,"4,993.62","23,579.54",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
880-819-5458,8402095,LSA | Cunningham-Allen | Synthetic,736487,256922,Cunningham-Allen,4798,Cunningham-Allen INC,"37,347.51",11-04-2026,"3,629.21","42,281.45",Re-Contextualize Dot-Com Deliverables,Angela Cole,National,,,,,,,,,,,
786-733-6686,6583524,LSA | Rodriguez and Sons | Synthetic,823403,966939,Rodriguez and Sons,5673,Rodriguez and Sons INC,"1,811.88",16-01-2026,"8,179.62","2,056.84",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
906-811-8454,9425858,"LSA | Diaz, Davis and Navarro | Synthetic",344103,876769,"Diaz, Davis and Navarro",0501,"Diaz, Davis and Navarro INC","42,366.24",05-05-2026,"1,602.29","63,309.55",Exploit Cutting-Edge Bandwidth,Monica Schmidt,DirectLocal,,,,,,,,,,,
041-937-8283,5301326,LSA | Hudson-Oconnor | Synthetic,213354,925703,Hudson-Oconnor,1192,Hudson-Oconnor INC,663.25,05-05-2026,"10,357.82","69,189.44",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
659-164-7027,4763143,LSA | Ramirez-Washington | Synthetic,470858,217686,Ramirez-Washington,8295,Ramirez-Washington INC,"59,881.07",17-04-2026,"12,577.61","42,545.79",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
888-102-3391,9733007,LSA | Smith Inc | Synthetic,584310,906020,Smith Inc,1192,Smith Inc INC,"29,821.50",02-05-2026,760.64,"2,435.27",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
425-924-4142,6871015,LSA | Stevens-Lee | Synthetic,002170,978981,Stevens-Lee,5673,Stevens-Lee INC,"5,570.16",03-01-2025,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
080-710-3727,9349027,LSA | Crawford Inc | Synthetic,766045,852285,Crawford Inc,2160,Crawford Inc INC,"43,913.87",22-10-2024,0.00,0.00,Engineer Transparent Interfaces,Angela Cole,DirectLocal,,,,,,,,,,,
613-338-5306,3394343,LSA | Knight-Harrington | Synthetic,396446,844265,Knight-Harrington,9588,Knight-Harrington INC,"20,404.00",07-05-2026,"5,336.21","67,138.85",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
887-620-6435,8233002,"LSA | Owens, Sampson and Espinoza | Synthetic",024693,773341,"Owens, Sampson and Espinoza",1192,"Owens, Sampson and Espinoza INC","24,724.70",05-05-2026,"4,434.90","36,158.84",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
336-228-9622,0086285,LSA | Paul-Hopkins | Synthetic,149772,615470,Paul-Hopkins,1192,Paul-Hopkins INC,"52,883.86",18-04-2026,"10,330.80","11,836.69",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
439-897-7027,6026404,"LSA | Cruz, Hill and Torres | Synthetic",244728,884279,"Cruz, Hill and Torres",1192,"Cruz, Hill and Torres INC","45,322.31",15-04-2026,"6,181.83","36,213.73",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
533-020-1598,2022959,LSA | Martinez Inc | Synthetic,231750,892692,Martinez Inc,9588,Martinez Inc INC,"45,103.15",03-11-2025,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
391-140-0659,2181944,LSA | Lutz LLC | Synthetic,718810,148862,Lutz LLC,9588,Lutz LLC INC,"29,778.27",24-04-2026,"2,966.47","61,309.10",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
194-913-7276,7539275,LSA | Simon-Obrien | Synthetic,406484,916711,Simon-Obrien,9588,Simon-Obrien INC,"8,387.93",27-04-2026,"2,970.23","54,170.83",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
437-092-3931,3004792,LSA | Johnson-Calderon | Synthetic,473628,773630,Johnson-Calderon,9588,Johnson-Calderon INC,"58,583.98",18-12-2025,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
723-134-3376,9614812,LSA | Scott Inc | Synthetic,914024,978008,Scott Inc,9588,Scott Inc INC,"48,791.82",05-05-2026,"12,017.79","32,013.70",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
066-374-5127,4934517,"LSA | White, Walker and Boyd | Synthetic",627311,597914,"White, Walker and Boyd",5673,"White, Walker and Boyd INC","43,543.65",18-01-2026,"10,966.67","21,720.15",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
731-811-8673,7406489,LSA | Moore PLC | Synthetic,257601,299558,Moore PLC,1192,Moore PLC INC,"4,649.23",16-03-2026,0.00,"23,694.02",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
369-802-8040,2112541,LSA | Olsen-Whitehead | Synthetic,562407,360010,Olsen-Whitehead,1192,Olsen-Whitehead INC,"54,205.47",21-04-2026,"10,779.50","36,568.66",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
560-453-2805,4092908,LSA | Keller LLC | Synthetic,685307,966399,Keller LLC,1192,Keller LLC INC,"48,765.46",30-04-2026,"12,667.94","15,647.77",Reinvent One-To-One Roi,Gina Sullivan,National,,,,,,,,,,,
521-772-7866,9155643,LSA | Jacobs LLC | Synthetic,379585,681012,Jacobs LLC,1192,Jacobs LLC INC,"30,013.13",06-05-2026,245.44,"25,822.58",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
356-176-5254,7348436,"LSA | Gomez, Yoder and Maldonado | Synthetic",161506,419332,"Gomez, Yoder and Maldonado",9588,"Gomez, Yoder and Maldonado INC","21,543.36",29-04-2026,"5,435.55","12,668.81",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
749-342-1049,6710530,LSA | Martinez Group | Synthetic,504508,898620,Martinez Group,1192,Martinez Group INC,"29,785.22",12-03-2026,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
769-035-8574,7322345,"LSA | Cook, Smith and Gordon | Synthetic",002073,961623,"Cook, Smith and Gordon",9588,"Cook, Smith and Gordon INC","10,616.99",29-04-2026,66.88,"2,141.75",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
582-411-7410,2866252,LSA | Houston Inc | Synthetic,566898,321792,Houston Inc,1192,Houston Inc INC,"1,521.51",24-04-2026,"2,753.11","7,498.27",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
507-189-0073,5926886,LSA | Hill-Hines | Synthetic,729574,186593,Hill-Hines,1192,Hill-Hines INC,"55,057.39",15-04-2026,"4,773.16","57,255.68",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
518-175-9826,3506403,LSA | Harris and Sons | Synthetic,268276,170580,Harris and Sons,5673,Harris and Sons INC,"45,219.20",02-12-2025,"5,478.80","23,945.96",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
040-846-7013,6644845,LSA | Kennedy-Hansen | Synthetic,784714,651010,Kennedy-Hansen,5673,Kennedy-Hansen INC,"39,226.67",18-03-2026,0.00,"16,077.66",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
244-829-9513,9919664,"LSA | Howard, Castillo and Johnson | Synthetic",985281,338758,"Howard, Castillo and Johnson",5673,"Howard, Castillo and Johnson INC","5,210.65",06-01-2026,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
591-557-0680,6113154,LSA | Turner Inc | Synthetic,581185,006574,Turner Inc,1192,Turner Inc INC,"34,258.52",05-05-2026,"10,940.46","42,581.54",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
451-540-0984,0867191,LSA | Davis Inc | Synthetic,572569,264313,Davis Inc,5673,Davis Inc INC,"7,556.69",06-01-2026,"1,718.72","47,830.51",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
761-011-0750,1143403,LSA | Parker LLC | Synthetic,124743,126798,Parker LLC,9588,Parker LLC INC,"24,252.21",09-04-2026,"5,338.16","25,788.17",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
549-838-2110,5364288,"LSA | Webster, Ray and Martinez | Synthetic",044005,640046,"Webster, Ray and Martinez",9588,"Webster, Ray and Martinez INC","21,814.66",23-04-2026,"7,125.99","25,153.77",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
050-277-2372,4792336,"LSA | Ryan, Parks and Avila | Synthetic",591675,799997,"Ryan, Parks and Avila",1192,"Ryan, Parks and Avila INC","55,505.45",06-05-2026,"13,485.17","47,086.07",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
062-743-7764,4011001,LSA | Thomas-Valencia | Synthetic,620656,745018,Thomas-Valencia,1192,Thomas-Valencia INC,"16,321.58",14-03-2026,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
930-318-1011,6936338,LSA | Wells-Carlson | Synthetic,587725,487005,Wells-Carlson,9588,Wells-Carlson INC,"24,589.64",29-04-2026,"12,668.70","60,512.34",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
734-468-1882,4502089,LSA | Benson and Sons | Synthetic,200285,025285,Benson and Sons,1192,Benson and Sons INC,"6,693.11",07-05-2026,"8,576.14","52,748.42",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
757-162-9712,3169709,LSA | Mccann LLC | Synthetic,817435,763064,Mccann LLC,3391,Mccann LLC INC,"38,554.16",11-09-2025,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
051-189-7892,9163277,"LSA | Martin, Mays and Berry | Synthetic",586060,620841,"Martin, Mays and Berry",8295,"Martin, Mays and Berry INC","56,778.87",22-04-2026,"2,825.74","47,123.90",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
351-118-5858,9124445,"LSA | Hunt, Ray and Smith | Synthetic",050570,848332,"Hunt, Ray and Smith",5673,"Hunt, Ray and Smith INC","14,679.69",06-01-2026,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
314-575-9336,1928984,"LSA | Castro, Rios and Carson | Synthetic",046172,475673,"Castro, Rios and Carson",9588,"Castro, Rios and Carson INC","36,031.08",20-04-2026,"4,100.07","24,157.24",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
769-096-2252,5125107,LSA | Wilkins Inc | Synthetic,933848,138395,Wilkins Inc,1192,Wilkins Inc INC,"13,214.54",02-05-2026,277.42,"20,076.19",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
568-172-6211,4708652,"LSA | Scott, Bryant and Johnson | Synthetic",919569,335583,"Scott, Bryant and Johnson",1192,"Scott, Bryant and Johnson INC","40,999.92",14-04-2026,"2,412.07","57,313.85",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
916-487-8252,9572231,LSA | Kelley PLC | Synthetic,936164,221953,Kelley PLC,5673,Kelley PLC INC,"18,506.83",10-04-2026,"5,735.21","24,045.72",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
323-911-3735,4724105,LSA | Riley-Allen | Synthetic,613689,188750,Riley-Allen,1479,Riley-Allen INC,"19,145.36",27-03-2026,"12,298.12","9,919.14",Redefine Ubiquitous Portals,Robert Diaz,DirectLocal,,,,,,,,,,,
422-802-8477,0192965,LSA | Clark Group | Synthetic,166881,230726,Clark Group,3698,Clark Group INC,"10,705.47",14-04-2026,"3,579.03","56,445.14",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
539-250-1198,3918551,LSA | Oliver-Berry | Synthetic,798269,127900,Oliver-Berry,3698,Oliver-Berry INC,"40,367.38",21-04-2026,"10,830.37","61,522.20",Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
340-086-3264,3579040,"LSA | Roberts, Robinson and Carey | Synthetic",077805,850475,"Roberts, Robinson and Carey",8295,"Roberts, Robinson and Carey INC","12,990.71",06-12-2025,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
114-450-0199,2581027,"LSA | Smith, Gardner and Jones | Synthetic",349044,990981,"Smith, Gardner and Jones",5673,"Smith, Gardner and Jones INC","49,981.01",18-05-2025,0.00,0.00,Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
200-487-1440,2206400,LSA | Thompson-Taylor | Synthetic,535557,698882,Thompson-Taylor,5673,Thompson-Taylor INC,434.85,02-04-2026,"5,614.01","19,573.57",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
631-420-6852,8595728,LSA | Graham-Brown | Synthetic,301971,829105,Graham-Brown,5673,Graham-Brown INC,"43,069.60",06-01-2026,"6,760.13","31,712.41",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
947-537-7514,7396312,"LSA | Diaz, Cummings and Cruz | Synthetic",310558,466596,"Diaz, Cummings and Cruz",1192,"Diaz, Cummings and Cruz INC","41,504.72",05-05-2026,"11,070.40","5,927.71",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
441-753-2479,6391593,"LSA | Perez, Ellison and Castillo | Synthetic",472682,440493,"Perez, Ellison and Castillo",9588,"Perez, Ellison and Castillo INC","44,184.37",05-05-2026,"6,775.53","54,117.69",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
104-342-8804,5751165,LSA | Rodgers LLC | Synthetic,819603,033351,Rodgers LLC,5673,Rodgers LLC INC,"38,004.43",12-04-2026,"7,962.60","6,559.30",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
971-051-5265,2957539,LSA | Martin-Cervantes | Synthetic,582559,550190,Martin-Cervantes,8295,Martin-Cervantes INC,"53,744.64",18-04-2026,"10,636.93","38,527.89",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
932-088-3534,5885751,LSA | Cuevas-Bell | Synthetic,740769,792393,Cuevas-Bell,5673,Cuevas-Bell INC,"11,351.42",06-01-2026,"7,429.72","70,182.86",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
126-300-4769,3998447,"LSA | Ryan, Johnson and Austin | Synthetic",620658,748645,"Ryan, Johnson and Austin",4297,"Ryan, Johnson and Austin INC","26,647.53",21-09-2024,0.00,0.00,Integrate 24/7 Channels,Anthony Duran,National,,,,,,,,,,,
669-323-3393,6272295,"LSA | Mendez, Ayala and Guerrero | Synthetic",283452,549638,"Mendez, Ayala and Guerrero",9588,"Mendez, Ayala and Guerrero INC","56,171.87",30-04-2026,"8,684.51","46,799.49",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
896-142-6237,2643569,LSA | Patel Inc | Synthetic,710174,527784,Patel Inc,5673,Patel Inc INC,"27,974.43",01-04-2026,"10,142.28","61,943.72",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
437-719-2790,5308101,LSA | Bryant-Cowan | Synthetic,572521,721897,Bryant-Cowan,3698,Bryant-Cowan INC,"12,384.32",30-04-2026,"4,836.19","51,763.98",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
751-315-3252,9397239,LSA | Bennett-Baldwin | Synthetic,521514,920367,Bennett-Baldwin,8295,Bennett-Baldwin INC,"46,852.41",16-10-2025,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
255-119-7234,6100462,LSA | Rojas and Sons | Synthetic,540900,040257,Rojas and Sons,9588,Rojas and Sons INC,"59,141.50",15-04-2026,"11,713.09","22,031.93",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
614-890-7755,4151650,"LSA | Johnson, Lopez and May | Synthetic",189326,047485,"Johnson, Lopez and May",7819,"Johnson, Lopez and May INC","13,597.63",17-03-2026,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
799-402-2515,1625122,"LSA | Reed, Weaver and Jones | Synthetic",824099,586085,"Reed, Weaver and Jones",5673,"Reed, Weaver and Jones INC","31,724.03",06-01-2026,0.00,"26,050.07",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
431-034-0848,1957568,"LSA | Jones, Castaneda and Davis | Synthetic",117416,120181,"Jones, Castaneda and Davis",3698,"Jones, Castaneda and Davis INC","46,774.30",06-05-2026,"6,066.73","17,974.74",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
854-810-5753,3403146,"LSA | Green, Hernandez and Norman | Synthetic",036251,128304,"Green, Hernandez and Norman",7819,"Green, Hernandez and Norman INC","18,520.86",17-04-2026,0.00,"5,488.62",Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
832-799-0692,0098608,LSA | Chandler-Reyes | Synthetic,714714,516382,Chandler-Reyes,5673,Chandler-Reyes INC,"18,724.03",07-03-2026,0.00,"63,779.17",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
182-787-9509,0094179,LSA | Ward Ltd | Synthetic,908194,781942,Ward Ltd,7819,Ward Ltd INC,"31,115.06",01-05-2024,0.00,0.00,E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
167-047-7243,6520106,LSA | Johnson and Sons | Synthetic,744116,310140,Johnson and Sons,7819,Johnson and Sons INC,"19,167.72",06-05-2026,"11,008.48","44,200.01",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
277-433-8686,3765861,LSA | Wilson-Terrell | Synthetic,367940,155699,Wilson-Terrell,5673,Wilson-Terrell INC,"25,117.89",01-05-2026,"5,814.06","61,131.30",Empower Global Relationships,Lynn Houston,National,,,,,,,,,,,
676-653-3848,2948789,"LSA | Garcia, Smith and Francis | Synthetic",616636,857341,"Garcia, Smith and Francis",9588,"Garcia, Smith and Francis INC","26,389.41",05-05-2026,"6,134.89","2,721.61",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
412-309-6215,1340928,LSA | Gomez PLC | Synthetic,433167,679332,Gomez PLC,8295,Gomez PLC INC,"53,226.44",03-04-2026,"1,703.97","3,220.40",Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
880-336-5864,9853507,LSA | Edwards Group | Synthetic,846717,100992,Edwards Group,8295,Edwards Group INC,"50,052.25",27-03-2026,0.00,0.00,Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
985-262-7434,4030933,"LSA | Montgomery, Barnes and Gray | Synthetic",286046,516757,"Montgomery, Barnes and Gray",7819,"Montgomery, Barnes and Gray INC","56,939.91",03-04-2026,"11,377.21","24,542.26",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
420-240-8957,7455684,LSA | Coffey Ltd | Synthetic,381827,600816,Coffey Ltd,1192,Coffey Ltd INC,"26,443.55",05-05-2026,"5,367.40","52,263.73",E-Enable B2C Experiences,Angela Cole,National,,,,,,,,,,,
970-489-0698,5306221,"LSA | Ramos, Walls and Green | Synthetic",377291,223412,"Ramos, Walls and Green",3391,"Ramos, Walls and Green INC","58,701.18",11-08-2023,0.00,0.00,Revolutionize B2C Platforms,Jason Drake,National,,,,,,,,,,,
